[2025-12-02 16:58:37,158] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:38,616] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:38,663] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:38,955] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:38,977] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:59:11,431] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:59:11,432] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 16:59:11,447] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:59:13,849] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:59:13,869] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:59:17,520] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:59:17,521] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 16:59:17,544] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:59:31,079] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:59:31,080] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 16:59:31,102] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:59:33,883] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:59:33,885] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 16:59:33,912] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 17:00:20,389] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:20,390] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 17:00:22,391] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 17:00:22,417] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 17:00:24,802] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:24,803] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 17:00:30,938] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:30,939] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:32,483] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:32,484] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:34,227] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:34,228] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:34,427] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:34,428] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:34,594] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:34,595] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:34,761] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:34,762] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:41,262] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:41,263] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:42,112] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:42,113] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:42,807] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:42,808] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:43,013] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:43,014] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:43,218] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:43,219] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:43,483] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:43,484] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:44,053] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:44,054] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:44,259] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:44,260] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:44,475] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:44,476] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:44,681] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:44,682] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:44,866] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:44,867] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:45,065] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:45,065] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:00:45,264] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:00:45,265] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
